Incident energy ; σ(E)
12.02564 ; 233.6112
12.03197 ; 206.1442
12.03829 ; 182.5862
12.04405 ; 164.094
12.0498 ; 148.1232
12.05556 ; 134.3048
12.06131 ; 122.3987
12.06707 ; 112.1023
12.07282 ; 103.2192
12.07858 ; 95.51424
12.08433 ; 88.83709
12.09009 ; 83.01186
12.09584 ; 77.92881
12.1016 ; 73.45984
12.10735 ; 69.52758
12.11311 ; 66.0401
12.11886 ; 62.94409
12.13037 ; 57.69319
12.13786 ; 54.82584
12.14534 ; 52.3101
12.1603 ; 48.10971
12.17526 ; 44.75909
12.19022 ; 42.03864
12.20518 ; 39.79704
12.22014 ; 37.92691
12.2351 ; 36.34995
12.25006 ; 35.00776
12.27998 ; 32.85974
12.3099 ; 31.232
12.33982 ; 29.96701
12.36974 ; 28.96303
12.40657 ; 27.98859
12.4434 ; 27.22722
12.48023 ; 26.62438
12.51706 ; 26.14286
12.55389 ; 25.75706
12.59072 ; 25.44829
12.66437 ; 25.00524
12.73803 ; 24.73925
12.81168 ; 24.61693
12.88534 ; 24.61826
12.95899 ; 24.73344
13.03265 ; 24.96056
13.1063 ; 25.304
13.19377 ; 25.87812
13.28124 ; 26.66209
13.36871 ; 27.70412
13.45617 ; 29.07814
13.54364 ; 30.8993
13.63111 ; 33.345
13.67485 ; 34.88124
13.71858 ; 36.69689
13.76231 ; 38.87879
13.80604 ; 41.53781
13.84287 ; 44.25703
13.8797 ; 47.55114
13.91653 ; 51.60676
13.95336 ; 56.70287
13.99019 ; 63.28502
14.00861 ; 67.35179
14.02702 ; 72.10646
14.04544 ; 77.7429
14.06385 ; 84.51714
14.08226 ; 92.80573
14.10067 ; 103.1525
14.11679 ; 114.5205
14.1329 ; 128.8117
14.14096 ; 137.3625
14.14901 ; 147.0282
14.15707 ; 157.9961
14.16512 ; 170.4132
14.17318 ; 184.4896
14.18124 ; 200.3857
14.1893 ; 218.26
14.19735 ; 238.2121
14.20541 ; 260.3662
14.21346 ; 284.6696
14.22957 ; 339.3592
14.23878 ; 373.5659
14.2473 ; 406.3725
14.25581 ; 439.4775
14.27284 ; 502.9171
14.28987 ; 555.293
14.29839 ; 574.5726
14.3069 ; 587.9432
14.31519 ; 594.6438
14.32348 ; 594.7093
14.329 ; 591.0123
14.33729 ; 579.9576
14.34558 ; 562.6785
14.35879 ; 524.0514
14.37199 ; 475.3153
14.38519 ; 421.0942
14.39839 ; 366.1186
14.40993 ; 320.7516
14.42147 ; 280.2538
14.43301 ; 246.2357
14.43878 ; 232.0017
14.44455 ; 219.7421
